bin,lower,upper,count,confidence,accuracy,abs_gap
1,0.0,0.1,0,0.05,0.05,0.0
2,0.1,0.2,0,0.15000000000000002,0.15000000000000002,0.0
3,0.2,0.30000000000000004,0,0.25,0.25,0.0
4,0.30000000000000004,0.4,0,0.35000000000000003,0.35000000000000003,0.0
5,0.4,0.5,0,0.45,0.45,0.0
6,0.5,0.6000000000000001,0,0.55,0.55,0.0
7,0.6000000000000001,0.7000000000000001,0,0.6500000000000001,0.6500000000000001,0.0
8,0.7000000000000001,0.8,0,0.75,0.75,0.0
9,0.8,0.9,34,0.8935216387666989,0.9705882352941176,0.07706659652741876
10,0.9,1.0,266,0.9322212406840995,0.943609022556391,0.011387781872291503
